{1,2,11,19,4,9,7,6,3,34,23,14,5,42,54,27,36,8,25,56,22,30,69,21,15,51,48,94,35,17,99,79,64,13,12,45,10,100,98,46,83,32,74,96,29,97,24,95,70,91,16,60,93,92,59,40,20,90,87,85,89,84,81,88,18,28,38,86,76,44,72,26,82,78,80,68,77,75,37,73,53,71,66,67,62,31,65,57,61,63,58,55,43,50,49,52,33,47,39,41},
{4,2,10,6,3,8,26,5,14,1,36,24,20,43,7,54,17,12,86,31,11,39,74,33,19,58,9,99,18,51,41,16,48,100,13,30,97,75,25,15,63,95,98,38,96,94,73,35,27,93,91,92,85,84,90,23,57,32,81,89,21,88,87,80,66,78,69,83,82,22,77,46,79,40,72,71,76,67,29,62,70,68,53,65,64,60,61,55,50,59,56,52,47,45,49,44,42,37,34,28},
{1,9,7,3,2,10,6,5,24,17,4,33,15,13,62,12,37,28,22,48,16,95,44,8,42,25,69,92,18,67,14,41,11,81,19,80,100,98,49,73,32,96,56,20,99,46,35,97,94,91,71,89,39,93,74,90,23,38,86,79,31,88,85,60,21,87,83,77,64,63,84,53,55,82,78,30,76,75,70,66,27,61,72,68,65,54,58,26,59,52,47,57,51,45,36,50,43,34,29,40},
{1,3,7,5,10,8,4,20,2,29,12,28,21,19,9,39,33,6,63,38,51,17,69,23,91,44,49,13,11,45,77,15,99,14,59,83,32,100,98,25,35,54,18,16,72,94,92,97,96,27,89,76,85,95,87,61,42,93,90,79,41,68,88,30,84,31,86,24,82,80,81,48,78,70,67,66,75,22,74,58,73,71,57,64,52,65,46,62,60,53,56,50,26,55,47,37,36,43,34,40},
{1,3,10,7,4,6,26,2,8,23,5,18,37,36,16,14,59,11,28,13,92,24,55,12,17,9,15,62,48,44,32,89,79,87,21,75,100,40,43,98,66,72,95,77,19,99,30,94,41,86,97,67,33,91,53,96,20,93,71,38,29,88,84,90,85,83,25,82,81,64,80,78,68,58,47,76,74,27,69,34,73,63,70,61,65,22,60,57,49,56,52,54,51,50,31,45,46,42,35,39},
{2,1,13,5,20,7,4,3,29,16,17,10,6,36,9,43,15,39,65,31,54,23,14,56,19,89,11,64,28,22,99,12,82,78,52,50,38,100,97,91,42,96,8,45,98,76,24,95,72,27,30,93,69,94,85,34,90,53,84,21,48,26,92,88,87,83,86,74,81,80,79,25,18,75,68,70,77,73,71,63,37,60,67,66,62,58,59,51,33,61,32,57,49,55,46,47,44,41,35,40},
{1,3,2,7,5,22,12,4,25,11,18,32,8,14,27,48,29,21,6,61,17,13,87,41,51,23,90,44,10,84,34,9,77,100,47,73,99,16,95,63,15,43,80,31,71,98,39,93,97,26,96,94,92,89,19,33,76,91,86,56,50,20,85,88,83,24,68,59,82,78,74,46,81,75,67,79,72,70,66,64,58,37,69,60,53,38,35,65,62,57,30,55,54,52,45,36,49,42,40,28},
{1,2,5,18,8,6,14,4,3,34,13,25,10,38,21,20,24,17,55,58,12,61,9,29,84,11,49,27,100,23,46,7,69,45,43,37,15,97,93,44,99,92,42,16,98,96,81,40,95,90,70,30,94,62,88,28,91,26,83,89,86,87,85,32,82,22,80,79,78,53,77,67,76,74,73,39,75,19,72,68,66,65,60,71,64,63,59,56,52,57,54,50,51,36,48,47,33,31,41,35},
{1,3,2,9,7,8,5,20,4,25,16,35,30,15,45,6,23,49,22,12,14,38,51,62,42,17,29,98,79,11,60,19,40,10,13,97,96,90,47,70,85,41,94,28,26,100,66,99,93,21,89,18,75,95,83,24,92,91,78,39,88,36,86,87,32,82,84,81,69,57,77,67,80,76,74,64,65,72,73,58,53,61,46,56,71,54,48,68,34,59,63,55,33,52,31,50,44,43,37,27},
{2,15,5,1,14,9,25,11,7,8,16,21,4,3,53,42,30,12,29,41,61,36,26,20,55,77,58,38,10,94,35,19,67,6,13,92,47,96,100,99,54,57,22,98,28,65,97,17,93,95,91,90,43,88,85,87,31,89,84,24,50,83,81,18,32,82,23,86,80,74,79,73,76,68,78,75,71,46,72,70,27,66,69,63,52,60,64,62,56,59,49,51,40,37,48,45,44,39,34,33},
{3,1,11,2,5,15,13,8,28,4,33,25,19,54,10,21,6,50,16,62,41,26,14,51,9,12,84,48,98,37,17,7,77,92,79,30,100,58,24,20,99,36,97,96,94,23,18,90,95,72,93,91,88,67,44,27,89,83,87,81,75,85,86,82,76,39,80,52,22,70,78,73,74,71,69,49,68,56,66,65,64,34,63,57,61,43,29,60,31,59,55,47,40,53,42,46,45,38,35,32},
{2,5,1,4,3,13,17,20,12,16,10,47,28,8,7,40,56,29,11,59,9,22,37,43,6,27,71,69,45,21,19,15,14,80,57,100,52,41,98,97,99,35,92,94,33,18,25,34,95,88,86,44,96,91,93,84,90,76,49,81,79,36,87,62,31,89,78,85,70,83,24,74,26,82,73,75,68,67,48,77,66,23,64,72,61,65,63,60,58,53,55,54,30,51,50,42,32,46,39,38},
{6,1,8,4,20,16,10,12,2,5,41,25,3,17,36,11,38,45,7,24,34,49,13,80,30,92,19,100,59,9,57,37,15,28,54,21,99,95,98,31,90,75,26,69,18,97,47,91,93,96,29,64,94,52,88,89,14,87,86,63,84,83,40,71,23,85,27,22,82,81,78,77,62,73,79,76,58,70,72,44,74,68,32,67,66,65,60,56,55,61,39,53,51,48,43,50,46,42,35,33},
{3,1,5,9,2,14,8,24,6,4,46,22,20,18,34,35,29,7,10,17,16,67,58,30,100,12,79,44,55,96,26,50,48,99,98,11,93,15,71,95,60,13,28,91,37,94,23,97,92,85,21,89,75,81,65,87,74,49,31,90,86,62,33,88,84,38,54,83,80,47,77,82,72,19,78,69,41,76,73,70,66,64,25,68,61,63,57,59,56,53,52,45,51,40,27,43,36,39,42,32},
{2,1,7,4,13,3,9,18,11,24,21,5,33,16,8,40,29,44,14,10,32,58,31,23,71,49,12,6,100,20,17,15,82,30,99,79,97,76,98,26,92,61,96,95,64,55,89,45,43,94,87,19,77,93,81,91,39,22,90,38,88,62,86,70,28,85,84,83,80,78,25,69,54,75,65,73,74,67,59,36,72,66,50,63,34,68,60,56,48,57,53,52,51,46,47,42,35,41,37,27},
{5,1,7,11,8,14,13,2,4,34,21,6,24,15,12,40,29,18,3,39,22,73,56,66,97,51,35,59,10,32,25,19,100,9,96,58,87,23,70,91,48,99,37,98,92,44,17,94,69,16,89,95,86,43,93,83,90,53,65,85,31,88,38,20,60,84,28,82,81,77,49,80,79,78,74,76,57,72,68,36,27,75,67,50,71,62,30,64,63,55,26,54,61,52,46,47,45,33,42,41},
{4,1,9,5,2,17,7,3,14,41,29,8,54,23,37,12,10,6,25,16,21,66,53,19,73,36,34,50,44,90,13,99,32,48,24,86,31,15,30,96,95,11,89,65,100,98,92,79,97,22,88,43,93,40,94,77,18,33,87,84,85,26,91,83,55,82,64,70,61,81,78,75,63,80,76,72,20,74,47,68,28,71,69,62,57,60,52,39,67,56,46,59,27,58,49,51,42,45,38,35},
{1,2,8,16,7,6,3,24,4,21,32,15,27,10,44,14,9,57,5,29,12,25,20,85,54,50,23,19,94,73,100,18,61,49,48,98,99,69,97,11,89,66,47,40,96,90,39,95,30,93,22,17,86,91,13,84,92,88,80,79,43,76,87,83,81,82,28,62,77,75,41,72,78,68,74,58,35,37,71,26,70,56,67,65,60,64,55,46,34,45,38,63,59,53,52,51,42,31,36,33},
{3,8,1,5,2,4,22,16,11,15,7,45,9,35,32,21,6,41,31,71,14,64,56,10,27,51,89,20,42,99,13,82,44,12,100,25,96,59,24,38,94,98,17,88,97,78,87,93,23,19,86,67,55,81,95,92,69,91,26,49,29,90,85,80,36,18,83,79,84,75,77,76,68,74,66,62,73,61,60,54,46,72,40,70,58,65,53,52,50,33,48,28,63,47,57,34,43,39,30,37},
